1,H,1.008,1,1,120,2.2,1,0,0,0,1,0,0,0,13.598,0.754,13.81,20.28,0.00008988
3,Li,6.938,2,1,182,0.98,1,0,0,0,1,0,0,0,5.392,0.618,453.65,1615,0.534
4,Be,9.012183,2,2,153,1.57,2,0,0,0,0,0,0,0,9.323,0.38,1560,2744,1.85
5,B,10.81,2,13,192,2.04,2,1,0,0,0,5,0,0,8.298,0.277,2348,4273,2.37
6,C,12.011,2,14,170,2.55,2,2,0,0,0,4,0,0,11.26,1.263,3823,4098,2.267
7,N,14.007,2,15,155,3.04,2,3,0,0,0,3,0,0,14.534,-0.21,63.15,77.36,0.0012506
8,O,15.999,2,16,152,3.44,2,4,0,0,0,2,0,0,13.618,1.461,54.36,90.2,0.001429
9,F,18.99840316,2,17,135,3.98,2,5,0,0,0,1,0,0,17.423,3.339,53.53,85.03,0.001696
11,Na,22.9897693,3,1,227,0.93,1,0,0,0,1,0,0,0,5.139,0.548,370.95,1156,0.97
12,Mg,24.305,3,2,173,1.31,2,0,0,0,0,0,0,0,7.646,-0.22,923,1363,1.74
13,Al,26.981538,3,13,184,1.61,2,1,0,0,0,5,0,0,5.986,0.441,933.437,2792,2.7
14,Si,28.085,3,14,210,1.9,2,2,0,0,0,4,0,0,8.152,1.385,1687,3538,2.3296
15,P,30.973762,3,15,180,2.19,2,3,0,0,0,3,0,0,10.487,0.746,317.3,553.65,1.82
16,S,32.07,3,16,180,2.58,2,4,0,0,0,2,0,0,10.36,2.077,388.36,717.75,2.067
17,Cl,35.45,3,17,175,3.16,2,5,0,0,0,1,0,0,12.968,3.617,171.65,239.11,0.003214
19,K,39.098,4,1,275,0.82,1,0,0,0,1,0,0,0,4.341,0.501,336.53,1032,0.89
20,Ca,40.08,4,2,231,1,2,0,0,0,0,0,0,0,6.113,-1.39,1115,1757,1.54
21,Sc,44.95591,4,3,211,1.36,2,0,1,0,0,0,9,0,6.561,0.188,1814,3109,2.99
22,Ti,47.87,4,4,187,1.54,2,0,2,0,0,0,8,0,6.828,0.079,1941,3560,4.5
23,V,50.941,4,5,179,1.63,2,0,3,0,0,0,7,0,6.746,0.525,2183,3680,6
24,Cr,51.996,4,6,189,1.66,1,0,5,0,1,0,5,0,6.767,0.666,2180,2944,7.15
25,Mn,54.93804,4,7,197,1.55,2,0,5,0,0,0,5,0,7.434,0.97,1519,2334,7.3
26,Fe,55.84,4,8,194,1.83,2,0,6,0,0,0,4,0,7.902,0.163,1811,3134,7.874
27,Co,58.93319,4,9,192,1.88,2,0,7,0,0,0,3,0,7.881,0.661,1768,3200,8.86
28,Ni,58.693,4,10,163,1.91,2,0,8,0,0,0,2,0,7.64,1.156,1728,3186,8.912
29,Cu,63.55,4,11,140,1.9,1,0,10,0,1,0,0,0,7.726,1.228,1357.77,2835,8.933
30,Zn,65.4,4,12,139,1.65,2,0,10,0,0,0,0,0,9.394,0.09,692.68,1180,7.134
31,Ga,69.72,4,13,187,1.81,2,1,10,0,0,5,0,0,5.999,0.3,302.91,2477,5.91
32,Ge,72.63,4,14,211,2.01,2,2,10,0,0,4,0,0,7.9,1.35,1211.4,3106,5.323
33,As,74.92159,4,15,185,2.18,2,3,10,0,0,3,0,0,9.815,0.81,1090,887,5.776
34,Se,78.97,4,16,190,2.55,2,4,10,0,0,2,0,0,9.752,2.021,493.65,958,4.809
35,Br,79.9,4,17,183,2.96,2,5,10,0,0,1,0,0,11.814,3.365,265.95,331.95,3.11
37,Rb,85.468,5,1,303,0.82,1,0,0,0,1,0,0,0,4.177,0.468,312.46,961,1.53
38,Sr,87.6,5,2,249,0.95,2,0,0,0,0,0,0,0,5.695,-1.51,1050,1655,2.64
39,Y,88.9058,5,3,219,1.22,2,0,1,0,0,0,9,0,6.217,0.307,1795,3618,4.47
40,Zr,91.22,5,4,186,1.33,2,0,2,0,0,0,8,0,6.634,0.426,2128,4682,6.52
41,Nb,92.9064,5,5,207,1.6,1,0,4,0,1,0,6,0,6.759,0.893,2750,5017,8.57
42,Mo,95.95,5,6,209,2.16,1,0,5,0,1,0,5,0,7.092,0.746,2896,4912,10.2
43,Tc,97.90721,5,7,209,1.9,2,0,5,0,0,0,5,0,7.28,0.55,2430,4538,11
44,Ru,101.1,5,8,207,2.2,1,0,7,0,1,0,3,0,7.361,1.05,2607,4423,12.1
45,Rh,102.9055,5,9,195,2.28,1,0,8,0,1,0,2,0,7.459,1.137,2237,3968,12.4
46,Pd,106.4,5,10,202,2.2,0,0,10,0,0,0,0,0,8.337,0.557,1828.05,3236,12
47,Ag,107.868,5,11,172,1.93,1,0,10,0,1,0,0,0,7.576,1.302,1234.93,2435,10.501
48,Cd,112.41,5,12,158,1.69,2,0,10,0,0,0,0,0,8.994,0.27,594.22,1040,8.69
49,In,114.82,5,13,193,1.78,2,1,10,0,0,5,0,0,5.786,0.3,429.75,2345,7.31
50,Sn,118.71,5,14,217,1.96,2,2,10,0,0,4,0,0,7.344,1.2,505.08,2875,7.287
51,Sb,121.76,5,15,206,2.05,2,3,10,0,0,3,0,0,8.64,1.07,903.78,1860,6.685
52,Te,127.6,5,16,206,2.1,2,4,10,0,0,2,0,0,9.01,1.971,722.66,1261,6.232
53,I,126.9045,5,17,198,2.66,2,5,10,0,0,1,0,0,10.451,3.059,386.85,457.55,4.93
55,Cs,132.905452,6,1,343,0.79,1,0,0,0,1,0,0,0,3.894,0.472,301.59,944,1.93
56,Ba,137.33,6,2,268,0.89,2,0,0,0,0,0,0,0,5.212,-0.48,1000,2170,3.62
57,La,138.9055,6,3,240,1.1,2,0,1,0,0,0,9,0,5.577,0.48,1191,3737,6.15
58,Ce,140.12,6,3,235,1.12,2,0,1,1,0,0,9,13,5.539,0.5,1071,3697,6.77
59,Pr,140.9077,6,3,239,1.13,2,0,0,3,0,0,0,11,5.464,0.5,1204,3793,6.77
60,Nd,144.24,6,3,229,1.14,2,0,0,4,0,0,0,10,5.525,0.5,1294,3347,7.01
61,Pm,144.91276,6,3,236,1.155,2,0,0,5,0,0,0,9,5.55,0.5,1315,3273,7.26
62,Sm,150.4,6,3,229,1.17,2,0,0,6,0,0,0,8,5.644,0.5,1347,2067,7.52
63,Eu,151.96,6,3,233,1.185,2,0,0,7,0,0,0,7,5.67,0.5,1095,1802,5.24
64,Gd,157.2,6,3,237,1.2,2,0,1,7,0,0,9,7,6.15,0.5,1586,3546,7.9
65,Tb,158.92535,6,3,221,1.21,2,0,0,9,0,0,0,5,5.864,0.5,1629,3503,8.23
66,Dy,162.5,6,3,229,1.22,2,0,0,10,0,0,0,4,5.939,0.5,1685,2840,8.55
67,Ho,164.93033,6,3,216,1.23,2,0,0,11,0,0,0,3,6.022,0.5,1747,2973,8.8
68,Er,167.26,6,3,235,1.24,2,0,0,12,0,0,0,2,6.108,0.5,1802,3141,9.07
69,Tm,168.93422,6,3,227,1.25,2,0,0,13,0,0,0,1,6.184,0.5,1818,2223,9.32
70,Yb,173.04,6,3,242,1.26,2,0,0,14,0,0,0,0,6.254,0.5,1092,1469,6.9
71,Lu,174.967,6,3,221,1.27,2,0,1,14,0,0,9,0,5.426,0.5,1936,3675,9.84
72,Hf,178.5,6,4,212,1.3,2,0,2,14,0,0,8,0,6.825,0.63,2506,4876,13.3
73,Ta,180.9479,6,5,217,1.5,2,0,3,14,0,0,7,0,7.89,0.322,3290,5731,16.4
74,W,183.8,6,6,210,2.36,2,0,4,14,0,0,6,0,7.98,0.815,3695,5828,19.3
75,Re,186.21,6,7,217,1.9,2,0,5,14,0,0,5,0,7.88,0.15,3459,5869,20.8
76,Os,190.2,6,8,216,2.2,2,0,6,14,0,0,4,0,8.7,1.1,3306,5285,22.57
77,Ir,192.22,6,9,202,2.2,2,0,7,14,0,0,3,0,9.1,1.565,2719,4701,22.42
78,Pt,195.08,6,10,209,2.28,1,0,9,14,1,0,1,0,9,2.128,2041.55,4098,21.46
79,Au,196.96657,6,11,166,2.54,1,0,10,14,1,0,0,0,9.226,2.309,1337.33,3129,19.282
80,Hg,200.59,6,12,209,2,2,0,10,14,0,0,0,0,10.438,-0.19,234.32,629.88,13.5336
81,Tl,204.383,6,13,196,1.62,2,1,10,14,0,5,0,0,6.108,0.2,577,1746,11.8
82,Pb,207.2,6,14,202,2.33,2,2,10,14,0,4,0,0,7.417,0.36,600.61,2022,11.342
83,Bi,208.9804,6,15,207,2.02,2,3,10,14,0,3,0,0,7.289,0.946,544.55,1837,9.807
84,Po,208.98243,6,16,197,2,2,4,10,14,0,2,0,0,8.417,1.9,527,1235,9.32
85,At,209.98715,6,17,202,2.2,2,5,10,14,0,1,0,0,9.5,2.8,575,610.15,7
